SRR1793993	SRR1793991	SRR1793994	SRR1793992
WBGene00197333	0	0	0	0
WBGene00198386	0	0	0	0
WBGene00015153	3.78017393794106	0.510353573883902	4.71870808605428	2.38990476316742
WBGene00002061	169.24081483626	412.628597115042	274.733670788049	351.612557710967
WBGene00255704	1.90742721639228	0.0618610392586548	1.23464405118983	0.505892249137628
WBGene00235314	0.277443958747968	0.0618610392586548	0.118390525456559	0.0697782412603625
WBGene00001177	59.3209864297998	22.2390436134864	42.4007210456562	20.4973583702315
WBGene00169236	0	0	0	0
WBGene00219784	0	0.0154652598146637	0	0.0174445603150906
WBGene00015152	1.28317830920935	0.201048377590628	0.642691423907035	1.3083420236318
WBGene00015151	0.0520207422652439	0	0.0338258644161597	0.0523336809452719
WBGene00021413	0.017340247421748	0	0.0169129322080799	0
WBGene00021412	9.76255929844411	3.68073183588996	4.00836493331493	6.99526868635134
WBGene00021414	0	0	0.0169129322080799	0.0174445603150906
WBGene00018976	2.5316761235752	0.83512402999184	3.51788989928061	0.819894334809259
WBGene00199654	0	0	0	0
WBGene00200227	0	0	0	0
WBGene00169451	0	0	0	0
WBGene00004496	1867.94347301296	1195.94400672776	2630.24847820396	2308.66544578004
WBGene00018975	27.9698190912795	57.4998359909197	41.6903778929169	28.4346333135977
WBGene00000480	106.382417932424	132.274367194819	114.399073455452	132.910105040675
WBGene00020999	73.6266905527419	153.338051062391	63.4404087125076	58.9626138650063
WBGene00021000	17.1668449475305	33.0956560033803	22.0375506671281	28.3648550723374
WBGene00021004	243.907920234307	311.516728446771	294.860060115664	269.099787420588
WBGene00021001	1.02307459788313	0.0154652598146637	2.33398464471502	0.0348891206301813
WBGene00044512	0.745630639135163	0.231978897219956	0.575039695074716	0.366335766616903
WBGene00021003	0.450846432965447	0.201048377590628	0.321345711953518	0.104667361890544
WBGene00023356	0	0	0	0
WBGene00005302	0	0	0	0
WBGene00170056	0	0	0	0
WBGene00005303	0.017340247421748	0	0	0
WBGene00021002	5.98238536050305	2.04141429553561	5.1246184590482	1.20367466174125
WBGene00006648	58.2112105948079	69.9339048819093	80.048908140842	47.3096475745258
WBGene00022435	15.3287787208252	1.09803344684112	13.9362561394578	9.31539520825839
WBGene00022434	40.5588387194685	82.8473968271535	47.7282946912014	93.1016184016387
WBGene00235163	1.35253929889634	0.680471431845203	1.74203201743223	0.83733889512435
WBGene00201724	0	0	0	0
WBGene00202280	0	0	0	0
WBGene00000838	90.3253488198852	95.4206530564751	85.0043972778094	58.5788335380743
WBGene00044689	55.5581527392805	85.1053247600944	52.4300898450476	46.6641988428674
WBGene00077643	6.13844758729878	11.7690627189591	4.38044944189269	8.21638790840768
WBGene00017080	98.8220700565417	59.7268334042312	88.4377225160496	73.912602055039
WBGene00017082	32.270200451873	12.3103468124723	26.4180001090208	19.9216878798335
WBGene00005299	0.017340247421748	0	0	0
WBGene00005301	0	0	0	0
WBGene00005298	0	0.0154652598146637	0	0.0174445603150906
WBGene00017083	0.520207422652439	5.47470197439095	0.727256084947434	0.453558568192356
WBGene00019814	0.381485443278455	3.78898865459261	0.811820745987834	0.645448731658353
WBGene00019817	0.867012371087399	1.88676169738897	0.625778491698955	0.401224887247084
WBGene00019818	4.17899962864126	3.58794027700198	3.46715110265637	8.96650400195658
WBGene00255728	1.57796251537907	0.340235715922602	2.72298208550086	0.27911296504145
WBGene00019815	2.08082969060976	3.26316982089404	2.84137261095742	0.750116093548897
WBGene00006419	0	0.0154652598146637	0.0338258644161597	0
WBGene00006172	0.017340247421748	0.0927915588879823	0.0169129322080799	0.0523336809452719
WBGene00019816	4.61250581418496	2.11874059460893	2.62150449225238	4.16924991530666
WBGene00021981	1.97678820607927	0.525818833698566	2.99358900083014	3.07024261545595
WBGene00044513	3.15592503075813	0.850589289806504	1.45451216989487	1.44789850615252
WBGene00021983	2.46231513388821	2.10327533479426	1.52216389872719	2.89579701230504
WBGene00018010	95.0245558711789	162.199644936193	152.131825211678	138.091139454257
WBGene00018011	129.843772694049	106.47831382396	117.832398693692	77.1049565927006
WBGene00018013	32.6343456477297	37.5187203103742	35.7539386878808	27.911296504145
WBGene00219932	0.017340247421748	0	0	0
WBGene00003614	3.65879220598882	1.67024805998368	4.05910372993917	0.942006257014894
WBGene00000022	47.1654729871545	15.2487461772584	17.8769693439404	14.7057643456214
WBGene00044750	0	0	0	0
WBGene00020708	0.867012371087399	0.0773262990733185	0.642691423907035	0.924561696699803
WBGene00020707	5.58355966980285	0	10.6551472910903	0.331446645986722
WBGene00020706	24.1029439162297	30.7758670311808	22.02063773492	10.5190698699996
WBGene00020705	99.6890824276291	142.09480717713	162.702407841728	133.991667780211
WBGene00021450	0.138721979373984	0.0463957794439911	0.101477593248479	0.0348891206301813
WBGene00021449	0.121381731952236	0.479423054254575	0.118390525456559	0
WBGene00196358	0	0	0	0
WBGene00021451	0.502867175230691	0.479423054254575	0.473562101826236	0.296557525356541
WBGene00201032	0	0	0	0
WBGene00022643	4.87260952551118	2.21153215349691	1.48833803431103	5.774149464295
WBGene00022642	77.8750511710701	216.37445006696	13.3950423087993	330.905864616954
WBGene00022641	0.104041484530488	0.95884610850915	0.118390525456559	0.785005214179078
WBGene00022640	0	0.0154652598146637	0.0507387966242396	0
WBGene00022639	0	0	0.0169129322080799	0.0174445603150906
WBGene00022638	0.104041484530488	0.448492534625248	0.287519847537358	0.0872228015754531
WBGene00005284	0	0	0	0
WBGene00022637	0	0	0	0.0174445603150906
WBGene00022636	0	0	0	0
WBGene00219773	0.0346804948434959	0.0309305196293274	0.118390525456559	0.104667361890544
WBGene00022644	702.74820726118	31.6419215808019	122.500367983123	143.115172825003
WBGene00022645	67.0027160376342	147.847883828185	8.86237647703385	156.250926742267
WBGene00021448	0.606908659761179	4.62411268458445	0.575039695074716	9.36772888920366
WBGene00015259	0.312124453591464	0.12372207851731	0.118390525456559	0.976895377645075
WBGene00015258	1.10977583499187	0.494888314069239	0.287519847537358	1.65723322993361
WBGene00015257	0	0.0309305196293274	0.0338258644161597	0.0174445603150906
WBGene00015255	0	0	0	0
WBGene00170618	0	0	0	0
WBGene00015260	0.0693609896869919	0.0463957794439911	0.0676517288323195	0.0872228015754531
WBGene00015254	0	0	0	0
WBGene00005256	0	0.247444157034619	0.0169129322080799	0
WBGene00005257	0.0520207422652439	0.0309305196293274	0	0.0697782412603625
WBGene00005258	0.190742721639228	0.154652598146637	0.0845646610403994	0.191890163465997
WBGene00019744	65.5634755016291	19.7646020431402	13.8855173428336	57.3751588763331
WBGene00003713	0.780311133978659	1.00524188795314	0.777994881571674	1.09900729985071
WBGene00003688	5.5662194223811	1.65478280016902	4.44810117072501	3.7156913471143
WBGene00019743	5.1327132368374	2.16513637405292	3.53480283148869	1.8665679537147
WBGene00019742	5.42749744300712	2.72188572738081	2.28324584809078	3.14002085671631
WBGene00019741	5.27143521621138	1.33001234406108	2.65533035666854	2.4247938837976
WBGene00019745	0	0.0309305196293274	0	0.0174445603150906
WBGene00019740	0.017340247421748	0	0.0338258644161597	0
WBGene00003689	1.21381731952236	2.72188572738081	0.558126762866636	4.08202711373121
WBGene00003645	5.63558041206809	2.95386462460077	1.38686044106255	4.55303024223865
WBGene00003720	10.8376546385925	2.07234481516494	4.85401154371892	3.08768717577104
WBGene00166752	0	0	0	0
WBGene00020153	9.64117756649187	3.55700975737265	7.17108325622587	7.55349461643424
WBGene00020152	4.54314482449797	0.927915588879823	3.16271832291094	2.09334723781088
WBGene00003696	4.95931076261992	1.94862273664763	2.14794239042614	3.00046437419559
WBGene00006233	0.121381731952236	0.0309305196293274	0.0845646610403994	0.0523336809452719
WBGene00003721	6.58929402026423	1.51559546183704	5.49670296762596	2.94813069325032
WBGene00020151	0.242763463904472	0.0309305196293274	0.236781050913118	0.191890163465997
WBGene00006282	0.0520207422652439	0.0463957794439911	0	0.0174445603150906
WBGene00020154	0.346804948434959	0.12372207851731	0.270606915329278	0.0697782412603625
WBGene00004144	4.97665101004167	0.989776628138477	1.94498720392919	2.93068613293523
WBGene00020014	0.121381731952236	0.0154652598146637	0.101477593248479	0.122111922205634
WBGene00005851	0	0	0	0
WBGene00005260	0	0.0154652598146637	0.0169129322080799	0
WBGene00005852	0	0	0	0
WBGene00005853	0	0	0	0
WBGene00020015	3.84953492762805	1.79397013850099	4.10984252656341	2.94813069325032
WBGene00005854	0	0	0	0.0174445603150906
WBGene00020016	1.19647707210061	0.340235715922602	0.0845646610403994	1.84912339339961
WBGene00255729	0	0	0	0.0174445603150906
WBGene00006119	0	0	0	0
WBGene00005855	0.017340247421748	0	0.0338258644161597	0
WBGene00005600	0	0	0	0
WBGene00020013	0.017340247421748	0	0.0169129322080799	0
WBGene00003648	8.30597851501728	1.94862273664763	5.83496161178756	11.3738533254391
WBGene00003722	11.0457376076535	2.4280457909022	9.31902564665201	3.08768717577104
WBGene00015759	97.7296344689716	24.3577842080953	20.7183419548978	44.1172930368642
WBGene00015758	0	0	0.0338258644161597	0
WBGene00015757	0.017340247421748	0	0.0507387966242396	0
WBGene00015760	0	0	0	0.0174445603150906
WBGene00015761	0	0	0	0.0174445603150906
WBGene00015762	0	0	0	0
WBGene00005899	0	0	0	0
WBGene00005898	0	0.0309305196293274	0.0676517288323195	0.0348891206301813
WBGene00015756	285.177709098067	29.755159883413	116.496277049254	59.9918429235967
WBGene00005585	0.017340247421748	0	0	0.0174445603150906
WBGene00005584	0.104041484530488	0	0	0
WBGene00015763	0.0693609896869919	0.510353573883902	0.101477593248479	0.471003128507447
WBGene00015764	0.0693609896869919	0	0.0507387966242396	0
WBGene00019453	0.0867012371087399	0	0.473562101826236	0
WBGene00019452	0	0	0	0
WBGene00019451	0	0	0	0
WBGene00199860	0	0	0	0
WBGene00019454	0	0	0.0338258644161597	0
WBGene00019450	0	0	0	0
WBGene00165423	0	0	0	0
WBGene00019449	0	0	0	0
WBGene00022758	0	0	0	0
WBGene00022757	0.0346804948434959	0	0.0676517288323195	0
WBGene00022756	0.017340247421748	0	0	0
WBGene00004177	0	0	0.0169129322080799	0
WBGene00005857	0	0	0	0
WBGene00005856	0	0	0	0
WBGene00023402	0	0	0	0
WBGene00004176	0.0520207422652439	0	0.0338258644161597	0.0523336809452719
WBGene00003680	9.3984141025874	3.46421819848467	4.68488222163812	5.47759193893846
WBGene00022755	0.104041484530488	0.0309305196293274	0.0338258644161597	0.0523336809452719
WBGene00018624	0.780311133978659	0.355700975737265	0.321345711953518	0.331446645986722
WBGene00018615	5.34079620589838	2.79921202645413	3.85614854344221	2.25034828064669
WBGene00018616	0.017340247421748	0	0	0.0348891206301813
WBGene00018617	0.017340247421748	0	0.0338258644161597	0
WBGene00018618	0.0520207422652439	0	0.101477593248479	0.0348891206301813
WBGene00018619	0.0346804948434959	0.0618610392586548	0.101477593248479	0
WBGene00018620	0.0346804948434959	0	0.101477593248479	0
WBGene00255730	0.433506185543699	0.0927915588879823	0.676517288323195	0.104667361890544
WBGene00003673	2.30625290709248	0.41756201499592	1.31920871223023	1.15134098079598
WBGene00018621	0.277443958747968	0.0927915588879823	0.422823305201997	0.0697782412603625
WBGene00018614	2.1675309277185	0.278374676663947	2.7737208821251	1.20367466174125
WBGene00005621	0	0	0.0169129322080799	0
WBGene00018622	3.08656404107114	2.89200358534211	3.0274148652463	1.34323114426198
WBGene00018623	0.017340247421748	0.0154652598146637	0.0676517288323195	0.0174445603150906
WBGene00197369	0	0	0	0
WBGene00017959	0	0.154652598146637	0.0338258644161597	0.0697782412603625
WBGene00005593	0	0	0.0338258644161597	0.0174445603150906
WBGene00005594	0.017340247421748	0	0	0
WBGene00005451	0	0	0	0
WBGene00005452	0	0	0	0
WBGene00017963	0	0	0	0.0348891206301813
WBGene00005320	0.017340247421748	0.0309305196293274	0.0338258644161597	0.0174445603150906
WBGene00017960	0.0520207422652439	0	0.0507387966242396	0.0174445603150906
WBGene00005472	0	0	0	0
WBGene00017961	5.46217793785061	1.29908182443175	4.04219079773109	1.83167883308452
WBGene00005687	0.017340247421748	0.0309305196293274	0	0.0523336809452719
WBGene00005688	0	0.0773262990733185	0	0.226779284096178
WBGene00017962	1.31785880405285	7.82542146621984	0.575039695074716	3.47146750270303
WBGene00005912	0	0.0773262990733185	0.0169129322080799	0.0174445603150906
WBGene00005913	0	0	0	0
WBGene00005914	0	0.0309305196293274	0.0169129322080799	0
WBGene00017957	0.658929402026423	0.262909416849283	0.135303457664639	0.593115050713081
WBGene00019244	21.32850432875	59.2628756097913	27.1790820583844	25.0503886124701
WBGene00005895	0.0520207422652439	0.0154652598146637	0.118390525456559	0.0174445603150906
WBGene00005632	0.017340247421748	0.0154652598146637	0.0338258644161597	0
WBGene00005631	0.17340247421748	0.0309305196293274	0.135303457664639	0.0523336809452719
WBGene00021709	108.601969602408	7.98007406436647	40.5910372993917	20.7764713352729
WBGene00005896	0.104041484530488	0.0618610392586548	0.0169129322080799	0.0697782412603625
WBGene00021708	0.017340247421748	0	0	0.0174445603150906
WBGene00021707	0	0.0154652598146637	0	0
WBGene00021706	0.0867012371087399	0.108256818702646	0.152216389872719	0.0348891206301813
WBGene00021710	0.0693609896869919	0.139187338331973	0.0507387966242396	0.0174445603150906
