WormBaseID,ElasticNet_Coef
WBGene00013853,-1.0544202735
WBGene00012513,-1.0484112682
WBGene00020080,-1.0447255556
WBGene00006809,-1.0362888405
WBGene00022597,-1.0194836436
WBGene00001433,-1.0165714813
WBGene00012177,-1.0130361505
WBGene00008969,-1.0118549047
WBGene00010175,-1.0083746902
WBGene00012252,-1.0054906046
WBGene00007072,-1.0026591561
WBGene00206388,-1.0020231802
WBGene00020884,-0.9954403413
WBGene00011362,-0.9865735973
WBGene00015753,-0.9788726286
WBGene00018100,-0.9621605977
WBGene00013221,-0.959424633
WBGene00077701,-0.9574778752
WBGene00018523,-0.955866197
WBGene00021412,-0.9158634191
WBGene00015456,-0.89185928
WBGene00019227,-0.8917410873
WBGene00012404,-0.8758895137
WBGene00006468,-0.8746643171
WBGene00015050,-0.8578936097
WBGene00010703,-0.854421402
WBGene00007340,-0.8410552556
WBGene00021171,-0.839180965
WBGene00018025,-0.8231937476
WBGene00006982,-0.8098883001
WBGene00022240,-0.8027656732
WBGene00017013,-0.8024137317
WBGene00020457,-0.7920411206
WBGene00022546,-0.7803528234
WBGene00001702,-0.7691902704
WBGene00007994,-0.7490189773
WBGene00021345,-0.7435100095
WBGene00000657,-0.7407783779
WBGene00008084,-0.7404145177
WBGene00021337,-0.7343204676
WBGene00015865,-0.7334064645
WBGene00023423,-0.7308473177
WBGene00008255,-0.7288800528
WBGene00008621,-0.7287532755
WBGene00022614,-0.693230291
WBGene00003107,-0.6931970959
WBGene00010961,-0.6748642706
WBGene00017201,-0.6700718331
WBGene00019605,-0.6465230534
WBGene00000692,-0.626855357
WBGene00022033,-0.6143645535
WBGene00000964,-0.6091894481
WBGene00017504,-0.608930639
WBGene00219207,-0.6001313496
WBGene00002151,-0.572595226
WBGene00018250,-0.5658664037
WBGene00020258,-0.5622656571
WBGene00015284,-0.5605178298
WBGene00004819,-0.5559765164
WBGene00044083,-0.5478739036
WBGene00219307,-0.5279885706
WBGene00011217,-0.5151652567
WBGene00019472,-0.5083812321
WBGene00019208,-0.5070711413
WBGene00019138,-0.4614054869
WBGene00017069,-0.4432365249
WBGene00004154,-0.4087932954
WBGene00009431,-0.4059537972
WBGene00000932,-0.3774533759
WBGene00003693,-0.3572948711
WBGene00016189,-0.3463349257
WBGene00016896,-0.3387464626
WBGene00015351,-0.3368641127
WBGene00012293,-0.3180391785
WBGene00003171,-0.3066658572
WBGene00008284,-0.3036629826
WBGene00012922,-0.297133336
WBGene00016846,-0.2775547573
WBGene00016595,-0.2636943941
WBGene00020797,-0.263662231
WBGene00023284,-0.2484367547
WBGene00017969,-0.1936622153
WBGene00011462,-0.1747039336
WBGene00017027,-0.1742184792
WBGene00004854,-0.1543232599
WBGene00014666,-0.1480524208
WBGene00020576,-0.082951848
WBGene00010059,-0.0736700715
WBGene00043982,0
WBGene00007532,0
WBGene00006416,0
WBGene00002260,0
WBGene00017140,0
WBGene00020651,0
WBGene00044921,0.1682484884
WBGene00017422,0.2550945326
WBGene00009722,0.2782246647
WBGene00008847,0.3172099023
WBGene00011677,0.3277134865
WBGene00009405,0.3435653102
WBGene00018569,0.3775502467
WBGene00012322,0.4057162898
WBGene00195165,0.4067622752
WBGene00000666,0.4441582846
WBGene00023401,0.4441925235
WBGene00014130,0.4567368406
WBGene00006306,0.466857937
WBGene00044661,0.4692370991
WBGene00022140,0.4950565028
WBGene00014759,0.506137352
WBGene00007562,0.5292028457
WBGene00002235,0.5322541539
WBGene00010219,0.5540076624
WBGene00007147,0.5567020022
WBGene00003966,0.6165740778
WBGene00020479,0.6284906998
WBGene00015370,0.6581210425
WBGene00012588,0.6761712089
WBGene00006681,0.6925458817
WBGene00010722,0.7209529309
WBGene00012819,0.7322405398
WBGene00019977,0.7398850157
WBGene00015704,0.7425209696
WBGene00018763,0.7547557978
WBGene00011760,0.7573921925
WBGene00045308,0.7735082615
WBGene00011345,0.785093443
WBGene00020260,0.7885817585
WBGene00013717,0.8056250409
WBGene00019285,0.8133423418
WBGene00007176,0.8247465636
WBGene00016204,0.8338043409
WBGene00043067,0.8616779507
WBGene00019717,0.8730632949
WBGene00017948,0.8844455863
WBGene00018210,0.8996350874
WBGene00004221,0.9199669361
WBGene00020914,0.9498167566
WBGene00015333,0.9605999338
WBGene00018241,0.9647064618
WBGene00007837,0.9683328959
WBGene00013331,0.9716016497
WBGene00045053,0.976432767
WBGene00219886,0.9789033721
WBGene00010460,0.9859252184
WBGene00021633,0.9983435096
WBGene00004017,1.0010218728
WBGene00009702,1.022402615
WBGene00007041,1.0292486748
WBGene00009958,1.0344031623
WBGene00016246,1.0860406996
WBGene00001440,1.1021619204
WBGene00011161,1.1062275859
WBGene00019532,1.138310318
WBGene00021275,1.1544756647
WBGene00007916,1.1556944544
WBGene00020551,1.1720950448
WBGene00001941,1.1952200375
WBGene00007338,1.2009366606
WBGene00011793,1.2151069905
WBGene00009738,1.2182976471
WBGene00008234,1.2370620495
WBGene00019426,1.2403431113
WBGene00003015,1.2557960783
WBGene00016175,1.2778390784
WBGene00020835,1.2862824021
WBGene00002184,1.2970910662
WBGene00003007,1.3032333673
WBGene00010906,1.305814551
WBGene00020531,1.3069221902
WBGene00002109,1.3140751553
WBGene00012224,1.3210174935
WBGene00000727,1.3284265723
WBGene00016663,1.3362111716
WBGene00010873,1.3520493702
WBGene00008023,1.353503759
WBGene00015789,1.364954319
WBGene00016463,1.3661783676
WBGene00021975,1.3674476839
WBGene00016003,1.3703070593
WBGene00011530,1.3793706326
WBGene00006163,1.3808491165
WBGene00010072,1.3829268275
WBGene00020222,1.3914337415
WBGene00012989,1.3915918628
WBGene00016805,1.3928047186
WBGene00001592,1.3980442726
WBGene00194717,1.4124706541
WBGene00020449,1.4249005457
WBGene00008762,1.4262470567
WBGene00020448,1.4409251202
WBGene00012178,1.4416192292
WBGene00010944,1.4420496016
WBGene00022891,1.4422699432
WBGene00021034,1.4437960168
WBGene00003633,1.448686407
WBGene00001487,1.451578921
WBGene00018476,1.4530540765
WBGene00022040,1.4553264108
WBGene00004264,1.4574461624
WBGene00022664,1.4668205133
WBGene00021011,1.4769944715
WBGene00020859,1.4840007675
WBGene00013970,1.4891999125
WBGene00017711,1.4900799894
WBGene00013585,1.4955719688
WBGene00016782,1.5033000672
WBGene00020920,1.5056097537
WBGene00000503,1.5091870117
WBGene00008929,1.5314391308
WBGene00002252,1.5393856398
WBGene00013090,1.5502669031
WBGene00010871,1.5944203661
WBGene00021641,1.5990263595
WBGene00007610,1.6116427443
WBGene00021494,1.6213782505
WBGene00009213,1.6505548969
WBGene00018042,1.6545111465
WBGene00005712,1.663734503
WBGene00014052,1.6681670316
WBGene00000012,1.67276718
WBGene00013009,1.6791509602
WBGene00077772,1.6806473063
WBGene00020850,1.6877841966
WBGene00004349,1.7023842036
WBGene00022584,1.7074455376
WBGene00015560,1.7095813385
WBGene00008051,1.71905022
WBGene00007963,1.7307265448
WBGene00013280,1.7320758663
WBGene00022592,1.7386517774
WBGene00000246,1.7414426067
WBGene00013352,1.7420036936
WBGene00015537,1.7475097533
WBGene00009969,1.751761972
WBGene00006682,1.7617330933
WBGene00021590,1.7749041535
WBGene00012974,1.7782815729
WBGene00009226,1.783556231
WBGene00045457,1.7860582249
WBGene00012610,1.7890647381
WBGene00017894,1.7950993646
WBGene00001207,1.7999126379
WBGene00021692,1.8020060266
WBGene00009125,1.8144265114
WBGene00021458,1.8213561838
WBGene00003774,1.8437796999
WBGene00012948,1.8454942754
WBGene00000190,1.8495658083
WBGene00000748,1.8527259455
WBGene00007590,1.8546732145
WBGene00013900,1.8605114783
WBGene00008610,1.8631792529
WBGene00001150,1.8663091733
WBGene00003092,1.8912959659
WBGene00019840,1.8956946105
WBGene00009484,1.9067758886
WBGene00018921,1.9075938641
WBGene00012038,1.9092586875
WBGene00012467,1.921820341
WBGene00008403,1.9366514644
WBGene00008611,1.9494611246
WBGene00000555,1.9536876069
WBGene00006980,1.9550463993
WBGene00011643,1.9554651787
WBGene00044238,1.9581256557
WBGene00018946,2.0017735862
WBGene00010295,2.0074932269
WBGene00001455,2.0182607749
WBGene00008563,2.0189795433
WBGene00013739,2.0218798313
WBGene00009831,2.0323558737
WBGene00004994,2.0401180578
WBGene00002141,2.0458383576
WBGene00021553,2.0459170821
WBGene00009416,2.0469463461
WBGene00020912,2.0590602297
WBGene00002090,2.0630487469
WBGene00019012,2.0751795497
WBGene00019913,2.0866099231
WBGene00015701,2.095921255
WBGene00010786,2.1184690057
WBGene00009299,2.1302216788
WBGene00022815,2.135080538
WBGene00002094,2.1413666564
WBGene00044053,2.1468481096
WBGene00017692,2.1527191369
WBGene00020830,2.1591718325
WBGene00044418,2.1641358521
WBGene00014002,2.1721255216
WBGene00019672,2.1940207683
WBGene00194815,2.1961965555
WBGene00010744,2.2062320126
WBGene00007257,2.218629362
WBGene00009216,2.2195498933
WBGene00206361,2.2221462999
WBGene00219707,2.2237545082
WBGene00001253,2.2267728713
WBGene00016785,2.2379326233
WBGene00002103,2.246030782
WBGene00077490,2.2506090158
WBGene00008594,2.2568431173
WBGene00005040,2.2905466619
WBGene00019858,2.2939940009
WBGene00045417,2.3003630707
WBGene00000135,2.3176499759
WBGene00017792,2.3248617517
WBGene00011772,2.3271313013
WBGene00016924,2.3275041724
WBGene00012822,2.3378413789
WBGene00003740,2.3491038517
WBGene00021061,2.3525520457
WBGene00220094,2.3566615563
WBGene00009104,2.364468667
WBGene00016099,2.3730832088
WBGene00011911,2.3783840993
WBGene00045238,2.3952020987
WBGene00019146,2.4010235139
WBGene00009349,2.4057259267
WBGene00018062,2.4105193368
WBGene00015729,2.412674084
WBGene00013499,2.4418739273
WBGene00007658,2.44195367
WBGene00219690,2.4483012539
WBGene00009589,2.4662169969
WBGene00000969,2.4965233098
WBGene00018085,2.4972864269
WBGene00012475,2.503939727
WBGene00020228,2.5323081336
WBGene00000013,2.5578278329
WBGene00011578,2.6151759715
WBGene00000756,2.6264037009
WBGene00006589,2.6310515368
WBGene00008964,2.6423800523
WBGene00044242,2.6544483235
WBGene00007130,2.655260041
WBGene00015046,2.6599665293
WBGene00202501,2.6784102065
WBGene00018666,2.7053394872
WBGene00000878,2.7316515297
WBGene00018298,2.7479431228
WBGene00021075,2.7769018969
WBGene00017041,2.7930239426
WBGene00009964,2.8003008466
WBGene00023323,2.8074037916
WBGene00010288,2.8198184951
WBGene00021786,2.8382595165
WBGene00012968,2.8547549632
WBGene00022870,2.8725673478
WBGene00023263,2.9048460808
WBGene00007288,2.9143336605
WBGene00219216,2.921728412
WBGene00044113,2.9606001908
WBGene00000007,2.965170959
WBGene00007682,2.9968129424
WBGene00017726,3.0024214018
WBGene00007659,3.0038043258
WBGene00002067,3.031027992
WBGene00004001,3.0316674349
WBGene00014206,3.1162346487
WBGene00017417,3.1658632056
WBGene00008490,3.1759480505
WBGene00045095,3.2150347994
WBGene00008955,3.223680884
WBGene00011185,3.2741771019
WBGene00012451,3.3065481857
WBGene00017072,3.3421049483
WBGene00007320,3.3849095424
WBGene00022475,3.3964740968
WBGene00020887,3.470024878
WBGene00009209,3.4916971569
WBGene00021601,3.5075368464
WBGene00022145,3.5840215886
WBGene00219950,3.5999555122
WBGene00235094,3.663620978
WBGene00020860,4.4098052328
